,name,description,longitude,latitude,category,country
134139,Agrodha Ghat,,83.0161195,25.3129953,Tourist Attraction,India
134140,Agroha Fort,,75.6176312,29.3323105,Castle,India
134141,Agumbe Sunset Point,,75.080588,13.4965041,Scenic View,India
134142,Agwanduāri,,87.2311342,24.088607,Natural Landmark,India
134143,Agyasol,,76.3505889,33.3527172,Natural Landmark,India
134144,Ahilyabai Ghat,,83.0099782,25.3057223,Tourist Attraction,India
134145,Ahju Fort Ruins,,76.692683,32.0197581,Historical Ruins,India
134146,Ahuja Museum for Arts,,88.3492339,22.5380906,Museum,India
134147,Aihanzan Hijhan,,75.2516437,34.3940948,Natural Landmark,India
134148,Aihole museum,,75.8827044,16.0204269,Museum,India
134149,Aimol peak,,94.107966,24.4010638,Natural Landmark,India
134150,Air Force Museum,,77.1172094,28.574396,Museum,India
134151,Air Force Museum,,76.9056992,8.5216491,Museum,India
134152,Ajangliung,,77.2913932,34.4524309,Natural Landmark,India
134153,Ajatashatru stupa,,85.4207702,25.0181672,Tourist Attraction,India
134154,Ajit Vivek Museum khetri,,75.7871113,28.0058915,Museum,India
134155,Ajitgarh,,77.2107618,28.6713618,Monument,India
134156,Ajoba peak,,73.6846841,19.4660383,Natural Landmark,India
134157,Ajpal Kund (Gauri Kund),,72.6483808,23.7828431,Monument,India
134158,Akbari Gate,,80.9072922,26.8621638,Monument,India
134159,Akhada Ghat,,73.6826544,24.5760448,Tourist Attraction,India
134160,Akhbari Mahal,,78.023238,27.1769871,Tourist Attraction,India
134161,"Akhila Niwas, Nikhil's House",,76.714793,9.1274765,Castle,India
134162,Akhor,,78.5453795,30.5368153,Natural Landmark,India
134163,Akhram Ka Haveli,,75.1485599,28.0552103,Tourist Attraction,India
134164,Akkalapuram,,78.226834,12.5423534,Natural Landmark,India
134165,Akkayyamma Betta Hill,,77.6418006,13.1663535,Natural Landmark,India
134166,Alam,,77.0848972,34.0384349,Natural Landmark,India
134167,Alamgiri Gate,,75.3930802,22.362878,Historical Ruins,India
134168,Alang,,73.6609805,19.5819592,Natural Landmark,India
134169,Albero nel muro,,77.2108438,28.643203,Tourist Attraction,India
134170,Alchi,,77.2565252,34.1583893,Natural Landmark,India
134171,Aldona Sluice Gate,,73.8682911,15.6007595,Tourist Attraction,India
134172,Alembic Colony,,73.1685201,22.3241965,Tourist Attraction,India
134173,Aleo Viewpoint,,77.1993592,32.2392046,Scenic View,India
134174,Alexander Point,,73.272316,18.9766016,Scenic View,India
134175,"Alfitrah, kids park ,Kizhakkoth",,75.9037702,11.3638104,Theme Park,India
134176,Ali Ratni Tibba,,77.4062157,32.098259,Natural Landmark,India
134177,Aliabad Sarai,,74.5833717,33.6416235,Tourist Attraction,India
134178,Alice Garg Seashell Museum,,75.8072115,26.8443983,Museum,India
134179,Alipatan,,76.3525986,32.9194755,Natural Landmark,India
134180,Alokananda Snout,,79.4125794,30.7831509,Tourist Attraction,India
134181,Alliance Francais,,80.9618626,26.8372497,Monument,India
134182,Alorna Fort,,73.9049442,15.7001827,Monument,India
134183,Alpbandariol,https://publications.americanalpineclub.org/articles/13201215849,78.3733556,31.4299879,Natural Landmark,India
134184,Alstom Metropolis,,80.243172,13.0323338,Monument,India
134185,Alva Mar,,73.7909768,15.5689069,Tourist Attraction,India
134186,Amar Mahal Museum & Library,,74.872527,32.7477541,Museum,India
134187,Amara Virula Stupalu,,80.6432853,16.2379561,Tourist Attraction,India
134188,Amarkantak,,81.7588417,22.670465,Tourist Attraction,India
134189,Amarnath Peak,,75.4919709,34.2251018,Natural Landmark,India
134190,AmazeWorld,,76.3176339,9.4964112,Tourist Attraction,India
134191,Amba Theertha,,75.3450635,13.2489334,Tourist Attraction,India
134192,Ambaji Peak (Girnar),,70.5274083,21.5280346,Natural Landmark,India
134193,Ambardi Safari Park,,71.049488,21.3571999,Zoo,India
134194,Ambe Hill,,73.4456044,18.3083801,Natural Landmark,India
134195,Ambedkar Chowk,,79.0948439,18.9437468,Tourist Attraction,India
134196,Ambedkar Chowk,,76.5906253,18.4004543,Monument,India
134197,Ambedkar Circle,,75.620687,16.3477509,Tourist Attraction,India
134198,Ambedkar Memorial,,80.266984,13.0193208,Tourist Attraction,India
134199,Ambedkar Statue,,80.2079346,13.1055919,Monument,India
134200,Ambedkar Statue,,77.9948765,16.7491393,Monument,India
134201,"Ambedkar Statue, Boduppal",,78.5845626,17.4183683,Monument,India
134202,Ambedkar statue,,79.2958728,19.9475213,Monument,India
134203,Amber Fort,,75.8506607,26.9863104,Archaeological Site,India
134204,Amber Fort,,75.8529004,26.9828328,Scenic View,India
134205,Ambora Spring,,73.9889,15.336471,Tourist Attraction,India
134206,Ambrai Ghat,,73.6799321,24.5777259,Tourist Attraction,India
134207,Ambukuthi Mala,,76.2363458,11.6266469,Natural Landmark,India
134208,Ameli,,78.9026756,30.0029627,Natural Landmark,India
134209,Ameoba Bowling Alley,,77.5851373,12.9331092,Tourist Attraction,India
134210,Amer Palace,,75.8537139,26.9859367,Tourist Attraction,India
134211,Amida Castle,,76.2518541,11.633426,Castle,India
134212,Ammapet Lake,,78.184535,11.6536493,Tourist Attraction,India
134213,Amoeba Bowling Alley,,73.8273761,15.5255485,Tourist Attraction,India
134214,Amphi Theater,,77.0616194,8.9603026,Tourist Attraction,India
134215,Amphitheatre,,72.8188717,19.0425669,Tourist Attraction,India
134216,Amrapali Museum,,75.8019066,26.9150126,Museum,India
134217,Amravati District Satra Nyayalaya,,77.7781055,20.9376684,Museum,India
134218,Amravati Municipal Corporation's Fire Station,,77.7576356,20.9345841,Museum,India
134219,Amritavarshini Vav,,72.5971063,23.0246644,Monument,India
134220,Amritsar Gate,,74.6042838,30.9630935,Monument,India
134221,Amsot,,77.6862892,30.37939,Natural Landmark,India
134222,Amteghatta,,74.8615505,14.1985283,Scenic View,India
134223,Amudalu Gutta,,80.5451878,16.8928781,Natural Landmark,India
134224,Amusement park,,76.8873074,8.5078288,Tourist Attraction,India
134225,Anaimudi view,,77.082205,10.1493322,Scenic View,India
134226,Anakkallumpara Water Falls,,76.0740623,11.3919907,Tourist Attraction,India
134227,Anakulam Elephant Spotting Point,,76.9124328,10.1608978,Tourist Attraction,India
134228,Anakulam Waterfalls,,77.2013593,8.5059491,Tourist Attraction,India
134229,Anamudi,,77.0611855,10.1696357,Natural Landmark,India
