Name,URL
Taleju Temple,"https://www.google.com/maps/place/Taleju+Bhawani+Temple/@27.7049154,85.3054718,17z/data=!4m7!3m6!1s0x39eb1856025cc86b:0x25c94a661e5bf981!8m2!3d27.7049154!4d85.3080467!10e1!16s%2Fg%2F1tdvhl5v?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
External Peace Flame,Error
Krishna Temple,Error
Umbrella Street,"https://www.google.com/maps/place/UMBRELLA+STREET,+PATIHANI/@27.5705854,84.3580679,17z/data=!4m7!3m6!1s0x3994f1434aabec65:0xdd65e9997f79f2f1!8m2!3d27.5705854!4d84.3606428!10e1!16s%2Fg%2F11fs7_vtns?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Rudrabarna Mahabihar,Error
Jesthabarna Mahabihar,Error
Namobuddha Monastery,Error
Dharmakirti Mahabihar,Error
Kalinchowk Bhagawati Temple,Error
Panch Pokhari,Error
Bhootnath Mahadev Temple,Error
Gokarneshwor Mahadev Temple,Error
Bethanchok Narayansthan,Error
Siddhartha Art Gallery,"https://www.google.com/maps/place/Siddhartha+Art+Gallery/@27.6944534,85.3201214,17z/data=!4m7!3m6!1s0x39eb19afde183abb:0xfc8bec5839523db9!8m2!3d27.6944534!4d85.3226963!10e1!16s%2Fg%2F1tdpkhb4?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Gosaikunda Lake,"https://www.google.com/maps/place/Gosainkunda/@28.0822914,85.4109926,17z/data=!4m7!3m6!1s0x39eaefb4ce7a5a77:0x169c2756b8837dea!8m2!3d28.0820059!4d85.414986!10e1!16zL20vMDR2MWNk?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Diyalo Bangala,Error
Nuwakot Palace ,"https://www.google.com/maps/place/Nuwakot+Palace/@27.9137229,85.1620462,17z/data=!4m7!3m6!1s0x39ead96b9e58fdd3:0x9e1178fe821ca17e!8m2!3d27.9137229!4d85.1646211!10e1!16s%2Fg%2F1tpn0zsb?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Nagarkot,Error
Siddhapokhari,Error
Pilot Baba Aashram,"https://www.google.com/maps/place/Pilot+Baba+Ashram/@27.6401489,85.4200842,17z/data=!4m7!3m6!1s0x39eb1017af41f153:0xa2f002c97871ccb9!8m2!3d27.6401489!4d85.4226591!10e1!16s%2Fg%2F12hlv64st?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Pottery Square ,Error
Aakash Bhairab Mandir,Error
Manakamana Temple,Error
Guhyeshwari Shaktipeeth Temple,"https://www.google.com/maps/place/Guhyeshwari+Shaktipeeth+Temple/@27.7112609,85.3508567,17z/data=!4m7!3m6!1s0x39eb197e6bfc9b79:0x6c8d555905c09552!8m2!3d27.7112609!4d85.3534316!10e1!16s%2Fm%2F0263tzq?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Naxal Bhagawati Temple,"https://www.google.com/maps/place/Shree+Naxal+Bhagawati+Temple/@27.7126954,85.3262344,17z/data=!4m7!3m6!1s0x39eb190ea12f729d:0xf0835e5b0dbb4402!8m2!3d27.7126954!4d85.3288093!10e1!16s%2Fg%2F1x6q0576?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
